epoch, loss, val_loss
0, 0.4734, 0.2900
1, 0.2834, 0.2976
2, 0.2800, 0.2812
3, 0.2427, 0.1885
4, 0.1712, 0.1850
5, 0.1460, 0.1621
6, 0.1275, 0.1250
7, 0.1184, 0.1169
8, 0.1091, 0.1059
9, 0.1016, 0.1000
10, 0.0960, 0.0945
11, 0.0909, 0.0912
